feature,importance,method
lactate,1.312429997958243,ShapleyValueSampling
dbp,0.923314024273277,ShapleyValueSampling
map,0.8096437227446586,ShapleyValueSampling
sbp,0.5878394687478431,ShapleyValueSampling
creatinine,0.5093937680678209,ShapleyValueSampling
fio2,0.4614782167691737,ShapleyValueSampling
aniongap,0.4114562739431858,ShapleyValueSampling
pt,0.36145102718146516,ShapleyValueSampling
inr,0.3351908793309849,ShapleyValueSampling
baseexcess,0.3294836476026103,ShapleyValueSampling
ph,0.3194768851029221,ShapleyValueSampling
ptt,0.260723678143695,ShapleyValueSampling
wbc,0.255825203564018,ShapleyValueSampling
bicarbonate,0.23278723045252264,ShapleyValueSampling
urine_output,0.19658803212922066,ShapleyValueSampling
sodium,0.19560971854254602,ShapleyValueSampling
rdw,0.17829694702173582,ShapleyValueSampling
totalco2,0.17474316412990448,ShapleyValueSampling
platelet,0.13827062117794411,ShapleyValueSampling
bilirubin,0.08300734226279019,ShapleyValueSampling
ast,0.0811991393243079,ShapleyValueSampling
